Which village cinema did you last visit to watch a movie?,Is this the regular Village cinema which you attend?,Which day of the week did you attend the Village cinema on your last visit?,How convenient were the available session times for the movie you watched?,Approximately how long did it take for you to reach the cinema from home on your last visit?,"Including your most recent visit, how frequently have you been to the movies in the past 3 months?",Was the session you last attended a Gold Class screen?,How would you rate the overall cleanliness of the cinema?,How would you rate the size of the screen in your last movie session?,How would you rate the picture quality of the screen in your last movie session?,How would you rate the quality of the sound for the cinema you were in?,How would you rate the comfort and size of your seat for the cinema you were in?,How would you rate temperature in the cinema you were in?,Staffing levels were adequate with reasonable wait times,How would you rate the friendliness of our staff?,"How would you rate the cleanliness of the amenities, such as bathrooms?",Are you a Vrewards member?,Did you purchase any food or drinks from our Snack Bar or Gold Class menu?,How would you rate the overall selection of our food?,How would you rate the quality of our food?,How would you rate the price of our food?,"Based on your last experience, how likely would you recommend the Village cinema you visited to a friend or colleague?",Have you ever received or would you gift someone a movie experience?,Would you like to receive news and special offers from Village?,What is your name?,What is your email address?
Plenty Valley,Yes,Wednesday,Very Inconvenient,Less than 10 minutes,2-3 times,No,9,4,10,10,3,Just right,Strongly agree,1,5,No,No,NA,NA,NA,6,Yes,Yes,Hannah Lee,Hannah.Lee@outlook.com
Rivoli,Yes,Monday,Very Inconvenient,Less than 30 minutes,More than 6 times,Yes,3,2,6,0,4,Just right,Strongly disagree,5,10,Yes,No,NA,NA,NA,9,No,No,NA,NA
Bendigo,Yes,Saturday,Inconvient,More than 1 hour,More than 6 times,No,9,10,3,6,7,A little warm,Neither agree nor disagree,1,5,No,Yes,8,0,1,1,No,Yes,Aiden Sanchez,Aiden.Sanchez@gmail.com
Albury,Yes,Thursday,Very Convenient,Less than 30 minutes,Once,No,3,8,5,0,3,Just right,Neither agree nor disagree,1,7,Yes,Yes,0,8,4,9,No,No,NA,NA
Warragul,Yes,Tuesday,Inconvient,More than 1 hour,Once,NA,2,7,7,9,7,Way too cold,Strongly disagree,6,10,Yes,Yes,5,9,0,0,No,No,NA,NA
Jam Factory,No,Thursday,Indifferent,Less than 1 hour,More than 6 times,Yes,8,4,0,2,7,A little cool,Disagree,0,1,Yes,Yes,6,1,4,2,Yes,No,NA,NA
Sunshine,No,Monday,Very Inconvenient,Less than 30 minutes,2-3 times,No,8,10,4,0,6,Just right,Strongly disagree,6,3,No,No,NA,NA,NA,9,Yes,No,NA,NA
Rivoli,No,Wednesday,Indifferent,More than 1 hour,2-3 times,No,3,3,2,8,2,A little cool,Disagree,10,3,Yes,Yes,6,1,10,9,Yes,No,NA,NA
Glenorchy,Yes,Wednesday,Inconvient,Less than 1 hour,More than 6 times,NA,9,4,7,5,9,Way too cold,Neither agree nor disagree,6,3,No,No,NA,NA,NA,3,Yes,Yes,David Jackson,David.Jackson@mailinator.com
Launceston,No,Monday,Very Inconvenient,More than 1 hour,2-3 times,NA,5,3,9,6,3,A little cool,Disagree,1,6,No,Yes,5,4,2,4,Yes,No,NA,NA
Warnambool,No,Saturday,Very Inconvenient,Less than 1 hour,Once,NA,9,0,5,7,6,A little warm,Neither agree nor disagree,5,4,No,No,NA,NA,NA,7,Yes,No,NA,NA
Shepparton,Yes,Tuesday,Very Convenient,Less than 30 minutes,Once,NA,8,1,6,1,0,Just right,Agree,9,3,No,Yes,8,3,10,5,No,No,NA,NA
Sorrento,No,Tuesday,Very Inconvenient,Less than 10 minutes,More than 6 times,NA,9,10,5,7,3,Just right,Disagree,5,7,Yes,Yes,4,3,3,10,Yes,Yes,Abigail Clark,Abigail.Clark@bigpond.com
Airport West,Yes,Sunday,Convenient,Less than 10 minutes,2-3 times,NA,2,2,4,6,7,A little cool,Strongly agree,9,10,Yes,Yes,9,8,10,3,No,No,NA,NA
Doncaster,Yes,Friday,Very Inconvenient,Less than 10 minutes,2-3 times,No,5,8,0,7,3,Way too hot,Strongly agree,2,9,Yes,Yes,10,6,6,7,Yes,No,NA,NA
Rosebud,No,Wednesday,Indifferent,Less than 30 minutes,More than 6 times,NA,8,10,9,10,8,A little warm,Disagree,0,1,No,Yes,8,6,7,0,Yes,No,NA,NA
Coburg Drive-In,Yes,Thursday,Very Inconvenient,Less than 10 minutes,2-3 times,NA,9,5,1,3,10,A little warm,Agree,0,0,Yes,Yes,5,5,8,1,No,Yes,Logan Cruz,Logan.Cruz@gmail.com
Karingal,No,Sunday,Inconvient,More than 1 hour,4-6 times,Yes,10,8,10,3,7,A little warm,Agree,10,5,Yes,No,NA,NA,NA,3,Yes,No,NA,NA
Warnambool,No,Saturday,Very Convenient,More than 1 hour,2-3 times,NA,8,7,6,0,10,Way too cold,Neither agree nor disagree,10,4,Yes,Yes,4,3,2,5,Yes,No,NA,NA
Glenorchy,Yes,Thursday,Convenient,Less than 30 minutes,4-6 times,NA,7,9,1,10,2,Way too cold,Neither agree nor disagree,7,1,No,No,NA,NA,NA,3,Yes,No,NA,NA
Coburg Drive-In,No,Thursday,Very Inconvenient,Less than 10 minutes,More than 6 times,NA,9,1,3,9,4,Way too hot,Disagree,7,7,No,No,NA,NA,NA,6,Yes,No,NA,NA
Crown,Yes,Friday,Inconvient,More than 1 hour,More than 6 times,No,0,6,10,0,1,Just right,Neither agree nor disagree,9,3,Yes,No,NA,NA,NA,10,No,Yes,Hailey Zhang,Hailey.Zhang@optusnet.com.au
Fountain Gate,No,Saturday,Convenient,Less than 10 minutes,2-3 times,Yes,9,2,8,8,1,Way too cold,Strongly agree,0,9,Yes,No,NA,NA,NA,1,No,No,NA,NA
Shepparton,Yes,Friday,Very Inconvenient,Less than 30 minutes,2-3 times,NA,4,1,9,1,6,Just right,Strongly agree,1,5,Yes,Yes,2,8,7,2,No,No,NA,NA
Geelong,Yes,Wednesday,Convenient,Less than 1 hour,More than 6 times,Yes,3,8,0,8,4,Way too cold,Disagree,10,6,Yes,Yes,9,2,0,9,Yes,No,NA,NA
Fountain Gate,No,Friday,Inconvient,Less than 10 minutes,2-3 times,Yes,9,4,9,8,4,A little cool,Neither agree nor disagree,7,3,No,Yes,10,7,1,4,No,Yes,William Nguyen,William.Nguyen@optusnet.com.au
Warnambool,Yes,Thursday,Indifferent,Less than 30 minutes,4-6 times,NA,3,4,4,0,1,A little cool,Strongly disagree,4,6,No,Yes,5,1,2,0,Yes,Yes,Mackenzie Long,Mackenzie.Long@mailinator.com
Fountain Gate,No,Monday,Inconvient,Less than 10 minutes,4-6 times,No,5,5,0,10,4,A little cool,Neither agree nor disagree,5,3,No,Yes,1,5,10,0,Yes,Yes,Samuel Morgan,Samuel.Morgan@bigpond.net.au
Warnambool,No,Wednesday,Convenient,Less than 10 minutes,More than 6 times,NA,0,1,1,6,4,Way too hot,Neither agree nor disagree,3,6,No,No,NA,NA,NA,3,No,Yes,Carter Long,Carter.Long@gmail.com
Fountain Gate,No,Saturday,Convenient,Less than 1 hour,4-6 times,Yes,4,6,9,9,10,Way too cold,Strongly agree,9,9,Yes,Yes,6,9,5,9,No,No,NA,NA
Plenty Valley,No,Thursday,Convenient,Less than 1 hour,4-6 times,Yes,10,3,7,7,3,A little cool,Disagree,7,4,No,No,NA,NA,NA,5,Yes,Yes,Cameron Ross,Cameron.Ross@outlook.com
Eastlands,Yes,Sunday,Inconvient,Less than 10 minutes,More than 6 times,NA,9,7,2,7,5,A little warm,Neither agree nor disagree,10,3,Yes,Yes,2,8,2,2,No,No,NA,NA
Sunshine,Yes,Friday,Inconvient,Less than 10 minutes,4-6 times,No,6,3,2,0,6,A little cool,Strongly disagree,7,5,Yes,No,NA,NA,NA,4,No,No,NA,NA
Crown,Yes,Monday,Convenient,Less than 1 hour,4-6 times,No,5,3,6,7,9,A little warm,Disagree,7,7,No,No,NA,NA,NA,6,No,Yes,Jackson Carter,Jackson.Carter@msn.com
Airport West,No,Friday,Convenient,Less than 10 minutes,4-6 times,NA,4,2,6,2,9,Just right,Strongly disagree,3,2,Yes,Yes,10,3,10,7,No,Yes,John Flores,John.Flores@gmail.com
Airport West,No,Monday,Very Convenient,Less than 1 hour,2-3 times,NA,10,1,5,7,10,A little warm,Strongly disagree,0,10,Yes,No,NA,NA,NA,3,Yes,Yes,Emma Foster,Emma.Foster@mailinator.com
Rosebud,Yes,Thursday,Convenient,More than 1 hour,4-6 times,NA,8,7,8,4,7,Way too cold,Strongly disagree,4,9,Yes,No,NA,NA,NA,4,Yes,No,NA,NA
Morwell,No,Saturday,Inconvient,Less than 10 minutes,Once,NA,0,0,4,6,4,Just right,Strongly disagree,2,9,No,Yes,8,2,2,1,No,No,NA,NA
Crown,Yes,Monday,Convenient,Less than 1 hour,Once,No,6,4,0,3,8,Way too cold,Agree,3,2,No,No,NA,NA,NA,0,Yes,No,NA,NA
Werribee,No,Sunday,Inconvient,Less than 10 minutes,2-3 times,Yes,8,3,6,5,0,Way too hot,Strongly disagree,3,2,No,Yes,9,4,4,7,Yes,Yes,Madelyn Mitchell,Madelyn.Mitchell@mail.com
Warnambool,Yes,Tuesday,Convenient,Less than 30 minutes,More than 6 times,NA,0,7,3,5,8,Way too hot,Neither agree nor disagree,1,2,Yes,No,NA,NA,NA,7,Yes,Yes,David Lopez,David.Lopez@gmail.com
Albury,Yes,Thursday,Indifferent,Less than 1 hour,Once,No,7,0,3,5,6,Just right,Neither agree nor disagree,9,7,Yes,No,NA,NA,NA,2,No,Yes,Jack Phillips,Jack.Phillips@mailinator.com
Plenty Valley,Yes,Tuesday,Very Convenient,Less than 1 hour,More than 6 times,No,10,3,9,3,10,A little cool,Agree,8,0,Yes,Yes,5,1,4,2,No,No,NA,NA
Rosebud,Yes,Thursday,Very Inconvenient,More than 1 hour,4-6 times,NA,1,8,8,1,2,Way too cold,Strongly agree,6,6,Yes,No,NA,NA,NA,2,Yes,Yes,Hannah Nguyen,Hannah.Nguyen@gmail.com
Southland,Yes,Sunday,Very Inconvenient,Less than 1 hour,Once,Yes,7,2,9,2,6,Way too hot,Disagree,7,6,Yes,Yes,6,9,4,6,Yes,No,NA,NA
Knox,No,Wednesday,Inconvient,Less than 10 minutes,Once,Yes,6,10,3,0,1,Way too hot,Strongly agree,7,4,Yes,Yes,3,6,5,0,No,No,NA,NA
Bendigo,Yes,Wednesday,Inconvient,Less than 1 hour,Once,Yes,6,5,5,10,6,A little cool,Neither agree nor disagree,6,1,No,Yes,6,2,10,2,No,Yes,Nicholas Adams,Nicholas.Adams@bigpond.com
Rivoli,No,Thursday,Indifferent,More than 1 hour,4-6 times,Yes,4,5,8,2,6,Way too cold,Strongly disagree,0,1,No,Yes,8,9,9,5,Yes,No,NA,NA
Century City,Yes,Friday,Very Inconvenient,Less than 10 minutes,More than 6 times,Yes,3,9,8,9,1,Way too cold,Neither agree nor disagree,0,6,No,Yes,9,2,2,7,No,No,NA,NA
Sunshine,Yes,Friday,Inconvient,More than 1 hour,4-6 times,No,2,10,8,3,9,A little cool,Strongly agree,4,9,No,Yes,2,7,1,4,Yes,Yes,Connor Jenkins,Connor.Jenkins@yahoo.com.au
Rosebud,No,Sunday,Indifferent,Less than 30 minutes,More than 6 times,NA,0,8,8,1,3,Way too cold,Strongly agree,9,1,Yes,Yes,0,7,6,1,Yes,No,NA,NA
Southland,Yes,Friday,Inconvient,Less than 10 minutes,4-6 times,Yes,6,4,8,6,5,Just right,Disagree,2,4,Yes,No,NA,NA,NA,10,Yes,No,NA,NA
Glenorchy,Yes,Friday,Very Convenient,Less than 30 minutes,4-6 times,NA,6,8,0,5,2,A little cool,Strongly disagree,2,7,Yes,No,NA,NA,NA,6,No,No,NA,NA
Shepparton,Yes,Saturday,Inconvient,Less than 10 minutes,4-6 times,NA,0,9,5,2,8,Way too hot,Strongly agree,6,6,No,No,NA,NA,NA,3,Yes,Yes,Aaliyah Garcia,Aaliyah.Garcia@bigpond.com
Karingal,Yes,Tuesday,Indifferent,Less than 30 minutes,Once,Yes,7,7,9,10,6,Way too hot,Disagree,3,5,Yes,Yes,7,8,1,1,Yes,Yes,Caden Lopez,Caden.Lopez@live.com.au
Sunshine,Yes,Sunday,Convenient,Less than 10 minutes,4-6 times,Yes,8,10,8,3,5,Way too cold,Strongly agree,7,0,Yes,Yes,7,2,9,4,Yes,No,NA,NA
Warnambool,Yes,Saturday,Inconvient,More than 1 hour,Once,NA,4,3,10,2,2,Way too cold,Neither agree nor disagree,8,9,Yes,Yes,5,7,2,3,Yes,Yes,Daniel King,Daniel.King@bigpond.net.au
Airport West,Yes,Tuesday,Very Inconvenient,Less than 30 minutes,Once,NA,9,4,8,10,8,Way too hot,Strongly agree,5,0,No,No,NA,NA,NA,8,Yes,Yes,Sebastian Baker,Sebastian.Baker@live.com.au
Warragul,No,Thursday,Inconvient,More than 1 hour,2-3 times,NA,9,6,2,0,5,Way too cold,Agree,6,9,Yes,Yes,1,4,2,0,No,No,NA,NA
Warragul,No,Wednesday,Indifferent,Less than 1 hour,Once,NA,5,4,7,7,10,Way too hot,Agree,9,3,Yes,No,NA,NA,NA,5,Yes,Yes,Aria Sanders,Aria.Sanders@bigpond.com
Crown,Yes,Tuesday,Very Convenient,Less than 1 hour,2-3 times,Yes,4,6,1,2,3,Way too hot,Agree,3,4,No,Yes,10,0,6,2,No,No,NA,NA
Fountain Gate,Yes,Thursday,Very Convenient,More than 1 hour,Once,No,7,3,9,8,3,A little warm,Agree,7,1,Yes,Yes,10,9,10,8,Yes,No,NA,NA
Rosebud,Yes,Sunday,Very Convenient,More than 1 hour,More than 6 times,NA,4,10,1,5,4,Just right,Strongly agree,6,2,Yes,No,NA,NA,NA,3,No,No,NA,NA
Warnambool,No,Saturday,Inconvient,Less than 10 minutes,Once,NA,3,7,2,10,6,Just right,Neither agree nor disagree,5,1,Yes,Yes,3,6,5,6,No,No,NA,NA
Sorrento,No,Friday,Convenient,More than 1 hour,More than 6 times,NA,10,1,6,8,1,Way too hot,Agree,7,4,No,No,NA,NA,NA,6,No,Yes,Nicholas Wilson,Nicholas.Wilson@live.com.au
Fountain Gate,Yes,Thursday,Indifferent,Less than 1 hour,4-6 times,No,3,4,4,3,2,Way too hot,Strongly agree,5,6,No,No,NA,NA,NA,2,Yes,Yes,Luna Ward,Luna.Ward@outlook.com
Doncaster,No,Sunday,Indifferent,More than 1 hour,More than 6 times,Yes,3,4,8,7,1,Way too cold,Disagree,4,5,Yes,No,NA,NA,NA,5,No,No,NA,NA
Fountain Gate,No,Tuesday,Very Convenient,Less than 30 minutes,Once,No,4,8,8,5,3,A little cool,Strongly disagree,2,3,No,No,NA,NA,NA,6,Yes,Yes,Sophia Hughes,Sophia.Hughes@live.com.au
Knox,No,Monday,Very Inconvenient,Less than 10 minutes,4-6 times,No,10,1,0,5,3,Way too cold,Strongly agree,3,7,No,No,NA,NA,NA,2,Yes,No,NA,NA
Rivoli,No,Thursday,Convenient,Less than 30 minutes,4-6 times,Yes,0,0,6,3,1,Way too hot,Agree,9,6,No,Yes,6,5,9,5,No,Yes,Scarlett Patel,Scarlett.Patel@mailinator.com
Sorrento,No,Friday,Very Inconvenient,Less than 10 minutes,More than 6 times,NA,0,9,9,2,5,A little cool,Strongly agree,0,3,No,No,NA,NA,NA,3,Yes,Yes,Caleb Kumar,Caleb.Kumar@mail.com
Geelong,No,Thursday,Very Convenient,More than 1 hour,4-6 times,Yes,5,5,7,4,4,A little cool,Disagree,5,2,No,Yes,7,9,10,5,No,No,NA,NA
Hobart,Yes,Sunday,Very Inconvenient,Less than 30 minutes,Once,Yes,9,10,5,6,2,Just right,Strongly disagree,6,8,Yes,Yes,10,8,3,6,No,Yes,Amelia Morgan,Amelia.Morgan@yahoo.com.au
Coburg Drive-In,Yes,Monday,Inconvient,Less than 30 minutes,More than 6 times,NA,3,3,0,2,5,A little warm,Strongly disagree,10,8,No,No,NA,NA,NA,6,Yes,Yes,Kinsley Carter,Kinsley.Carter@bigpond.com
Airport West,No,Monday,Indifferent,Less than 30 minutes,Once,NA,1,10,6,4,10,Just right,Agree,5,1,No,No,NA,NA,NA,7,No,Yes,Samuel Bennett,Samuel.Bennett@msn.com
Sunshine,Yes,Saturday,Inconvient,More than 1 hour,2-3 times,Yes,7,6,5,2,0,Way too cold,Agree,3,8,No,No,NA,NA,NA,10,Yes,Yes,Daniel Reed,Daniel.Reed@hotmail.com
Plenty Valley,No,Thursday,Indifferent,Less than 1 hour,2-3 times,No,4,1,10,7,7,A little warm,Strongly disagree,3,8,No,Yes,10,4,1,4,No,No,NA,NA
Shepparton,No,Tuesday,Inconvient,Less than 10 minutes,4-6 times,NA,4,0,6,9,0,Way too cold,Strongly disagree,0,7,No,No,NA,NA,NA,2,Yes,Yes,Victoria Hill,Victoria.Hill@hotmail.com
Coburg Drive-In,No,Wednesday,Inconvient,More than 1 hour,More than 6 times,NA,0,6,6,1,1,A little cool,Disagree,3,7,Yes,Yes,3,2,0,8,No,No,NA,NA
Knox,Yes,Saturday,Very Convenient,More than 1 hour,Once,Yes,1,1,7,3,1,Way too hot,Strongly disagree,0,8,No,Yes,3,10,2,1,Yes,No,NA,NA
Glenorchy,Yes,Sunday,Very Inconvenient,Less than 10 minutes,4-6 times,NA,9,3,7,6,3,Way too hot,Strongly agree,10,8,No,No,NA,NA,NA,5,No,No,NA,NA
Rosebud,Yes,Thursday,Very Inconvenient,Less than 10 minutes,2-3 times,NA,2,7,3,0,4,Way too hot,Neither agree nor disagree,6,1,Yes,No,NA,NA,NA,8,Yes,No,NA,NA
Bendigo,Yes,Tuesday,Indifferent,Less than 30 minutes,4-6 times,Yes,3,7,1,8,7,Way too hot,Strongly disagree,4,1,No,No,NA,NA,NA,4,Yes,No,NA,NA
Warragul,Yes,Sunday,Indifferent,Less than 1 hour,More than 6 times,NA,9,2,4,3,9,A little cool,Agree,2,10,No,No,NA,NA,NA,4,Yes,Yes,Nathan Peterson,Nathan.Peterson@live.com.au
Doncaster,No,Monday,Very Inconvenient,Less than 10 minutes,More than 6 times,Yes,0,2,2,1,3,Just right,Neither agree nor disagree,6,0,Yes,Yes,2,5,8,8,No,No,NA,NA
Rosebud,No,Tuesday,Indifferent,Less than 30 minutes,2-3 times,NA,3,9,1,3,6,Just right,Strongly disagree,4,7,No,Yes,7,8,10,2,No,Yes,Adalyn Cox,Adalyn.Cox@msn.com
Geelong,No,Thursday,Indifferent,Less than 1 hour,4-6 times,Yes,6,2,10,10,9,A little cool,Disagree,5,8,Yes,No,NA,NA,NA,4,No,No,NA,NA
Doncaster,Yes,Friday,Convenient,More than 1 hour,2-3 times,No,8,6,2,6,1,Way too cold,Strongly disagree,6,5,Yes,No,NA,NA,NA,10,Yes,Yes,Nathan Jones,Nathan.Jones@msn.com
Century City,Yes,Tuesday,Inconvient,Less than 1 hour,4-6 times,Yes,3,3,2,9,7,Way too cold,Agree,3,10,Yes,Yes,5,0,4,5,No,No,NA,NA
Morwell,No,Wednesday,Indifferent,Less than 1 hour,More than 6 times,NA,7,3,5,0,3,Just right,Strongly disagree,1,1,Yes,Yes,7,10,3,0,Yes,No,NA,NA
Karingal,Yes,Tuesday,Very Convenient,Less than 10 minutes,Once,Yes,1,6,9,10,5,Way too hot,Disagree,4,5,Yes,No,NA,NA,NA,3,Yes,No,NA,NA
Warragul,Yes,Wednesday,Very Convenient,Less than 30 minutes,4-6 times,NA,2,3,5,0,8,Just right,Strongly agree,3,5,Yes,Yes,8,7,4,8,No,No,NA,NA
Century City,No,Sunday,Indifferent,More than 1 hour,2-3 times,No,7,2,4,0,1,Way too cold,Neither agree nor disagree,0,9,Yes,Yes,9,5,3,2,No,Yes,Caleb Reyes,Caleb.Reyes@bigpond.net.au
Airport West,No,Friday,Very Inconvenient,Less than 10 minutes,4-6 times,NA,2,10,3,7,2,Just right,Disagree,2,10,Yes,No,NA,NA,NA,5,No,No,NA,NA
Eastlands,No,Saturday,Very Convenient,Less than 1 hour,2-3 times,NA,7,10,10,2,10,Way too cold,Strongly disagree,3,6,No,No,NA,NA,NA,4,Yes,Yes,William Morris,William.Morris@optusnet.com.au
Warnambool,Yes,Tuesday,Very Inconvenient,Less than 1 hour,4-6 times,NA,5,9,4,2,7,Way too cold,Strongly disagree,3,1,No,Yes,3,7,8,7,Yes,Yes,Ethan Miller,Ethan.Miller@yahoo.com.au
Hobart,No,Monday,Very Inconvenient,Less than 10 minutes,4-6 times,No,5,9,4,1,7,A little cool,Strongly agree,2,5,Yes,Yes,10,1,8,6,No,Yes,Aaliyah White,Aaliyah.White@live.com.au
Plenty Valley,No,Saturday,Indifferent,Less than 1 hour,2-3 times,No,2,9,4,8,3,Just right,Agree,5,6,No,No,NA,NA,NA,8,Yes,Yes,Kaylee Wright,Kaylee.Wright@gmail.com
Fountain Gate,Yes,Friday,Inconvient,Less than 1 hour,4-6 times,Yes,8,0,2,3,7,A little cool,Strongly agree,2,8,No,No,NA,NA,NA,1,No,No,NA,NA
Sorrento,Yes,Sunday,Very Inconvenient,Less than 10 minutes,4-6 times,NA,2,0,5,0,1,Just right,Strongly agree,0,9,No,No,NA,NA,NA,10,No,No,NA,NA
Warnambool,No,Saturday,Very Inconvenient,Less than 30 minutes,Once,NA,8,7,2,7,6,Way too hot,Disagree,10,1,No,No,NA,NA,NA,10,Yes,Yes,Ella Turner,Ella.Turner@yahoo.com.au
Warnambool,No,Sunday,Inconvient,Less than 30 minutes,4-6 times,NA,6,6,0,9,8,A little cool,Neither agree nor disagree,9,0,No,No,NA,NA,NA,9,No,Yes,Emily Evans,Emily.Evans@bigpond.net.au
Century City,No,Tuesday,Inconvient,More than 1 hour,4-6 times,Yes,0,7,4,6,10,Way too cold,Disagree,0,0,No,No,NA,NA,NA,3,Yes,Yes,Isaiah Stewart,Isaiah.Stewart@hotmail.com
Airport West,No,Sunday,Convenient,More than 1 hour,More than 6 times,NA,3,5,6,5,4,Way too hot,Strongly agree,3,10,Yes,No,NA,NA,NA,9,No,Yes,Benjamin Evans,Benjamin.Evans@yahoo.com.au
Coburg Drive-In,No,Sunday,Inconvient,Less than 30 minutes,Once,NA,2,6,3,10,1,Way too cold,Strongly disagree,3,2,No,No,NA,NA,NA,6,Yes,No,NA,NA
Bendigo,Yes,Saturday,Inconvient,Less than 30 minutes,4-6 times,Yes,3,9,3,8,6,A little cool,Neither agree nor disagree,4,10,No,Yes,1,3,0,6,No,Yes,Wyatt Lopez,Wyatt.Lopez@bigpond.com
Plenty Valley,Yes,Tuesday,Very Convenient,Less than 30 minutes,2-3 times,Yes,6,2,7,6,6,A little warm,Neither agree nor disagree,1,7,No,Yes,10,3,1,6,No,Yes,Ryan Davis,Ryan.Davis@live.com.au
Jam Factory,Yes,Tuesday,Convenient,Less than 30 minutes,More than 6 times,No,3,5,10,0,9,Way too hot,Strongly agree,1,6,No,Yes,10,3,8,6,Yes,No,NA,NA
Glenorchy,Yes,Monday,Very Convenient,Less than 10 minutes,4-6 times,NA,7,10,10,1,9,A little warm,Neither agree nor disagree,10,9,Yes,No,NA,NA,NA,9,No,Yes,Aaliyah Lopez,Aaliyah.Lopez@yahoo.com.au
Rosebud,No,Sunday,Very Convenient,More than 1 hour,Once,NA,10,2,6,6,1,A little cool,Disagree,9,6,No,Yes,10,3,2,8,No,Yes,Sophia Hall,Sophia.Hall@bigpond.com
Albury,No,Tuesday,Inconvient,Less than 1 hour,More than 6 times,Yes,9,5,8,4,5,Just right,Strongly disagree,0,6,No,No,NA,NA,NA,9,No,No,NA,NA
Warnambool,Yes,Sunday,Inconvient,More than 1 hour,Once,NA,8,8,2,3,1,Way too cold,Strongly agree,1,5,Yes,No,NA,NA,NA,3,No,No,NA,NA
Knox,Yes,Sunday,Very Convenient,More than 1 hour,2-3 times,Yes,3,2,3,8,3,A little cool,Neither agree nor disagree,8,10,No,Yes,1,9,3,6,Yes,Yes,Nora White,Nora.White@outlook.com
Coburg Drive-In,No,Saturday,Very Convenient,More than 1 hour,4-6 times,NA,9,9,1,4,7,Way too hot,Neither agree nor disagree,2,8,No,No,NA,NA,NA,5,No,Yes,Ethan Davis,Ethan.Davis@outlook.com
Airport West,Yes,Wednesday,Convenient,Less than 1 hour,More than 6 times,NA,9,10,10,10,4,A little warm,Strongly agree,3,2,Yes,Yes,4,2,6,2,No,No,NA,NA
Airport West,No,Monday,Convenient,Less than 10 minutes,2-3 times,NA,8,7,0,9,4,A little cool,Neither agree nor disagree,1,9,No,No,NA,NA,NA,5,Yes,No,NA,NA
Sorrento,Yes,Wednesday,Very Convenient,More than 1 hour,More than 6 times,NA,1,1,2,0,3,Way too hot,Strongly agree,3,10,No,Yes,5,7,9,1,Yes,Yes,Amelia Roberts,Amelia.Roberts@hotmail.com
Karingal,Yes,Monday,Very Convenient,Less than 1 hour,2-3 times,No,7,6,3,0,0,A little warm,Strongly agree,0,4,No,No,NA,NA,NA,1,Yes,No,NA,NA
Launceston,Yes,Sunday,Convenient,Less than 1 hour,2-3 times,NA,0,1,0,2,5,Just right,Agree,6,2,No,No,NA,NA,NA,2,Yes,No,NA,NA
Fountain Gate,Yes,Saturday,Inconvient,Less than 30 minutes,More than 6 times,Yes,9,2,9,8,1,Way too cold,Strongly agree,7,10,No,Yes,4,5,8,10,No,Yes,Elizabeth Garcia,Elizabeth.Garcia@optusnet.com.au
Sorrento,No,Wednesday,Inconvient,Less than 30 minutes,More than 6 times,NA,1,1,10,10,1,Way too hot,Agree,9,5,Yes,Yes,0,1,0,4,No,No,NA,NA
Plenty Valley,Yes,Friday,Indifferent,More than 1 hour,4-6 times,No,8,0,9,9,9,Way too hot,Disagree,1,2,Yes,No,NA,NA,NA,10,No,No,NA,NA
Sorrento,Yes,Wednesday,Very Convenient,Less than 30 minutes,2-3 times,NA,9,9,1,10,8,Way too hot,Strongly agree,10,6,Yes,Yes,4,9,4,0,Yes,Yes,Nicholas Cooper,Nicholas.Cooper@bigpond.net.au
Morwell,No,Friday,Very Convenient,More than 1 hour,4-6 times,NA,6,4,9,7,6,A little warm,Neither agree nor disagree,2,0,Yes,No,NA,NA,NA,6,Yes,No,NA,NA
Airport West,No,Wednesday,Very Convenient,Less than 10 minutes,4-6 times,NA,10,2,2,3,6,A little warm,Agree,0,6,No,No,NA,NA,NA,3,Yes,Yes,Abigail Perry,Abigail.Perry@hotmail.com
Sorrento,No,Thursday,Indifferent,Less than 30 minutes,2-3 times,NA,5,3,6,9,8,A little cool,Strongly disagree,2,2,Yes,Yes,2,0,7,7,Yes,No,NA,NA
Airport West,Yes,Saturday,Very Inconvenient,Less than 30 minutes,2-3 times,NA,10,6,4,2,1,A little cool,Agree,3,9,No,No,NA,NA,NA,4,Yes,No,NA,NA
Karingal,No,Tuesday,Convenient,Less than 1 hour,2-3 times,Yes,8,8,5,8,7,Way too hot,Strongly disagree,1,2,Yes,No,NA,NA,NA,4,No,Yes,Abigail Cox,Abigail.Cox@msn.com
Geelong,No,Tuesday,Inconvient,Less than 30 minutes,4-6 times,No,8,3,2,2,3,Way too cold,Neither agree nor disagree,1,6,No,Yes,5,8,9,9,Yes,No,NA,NA
Warnambool,No,Sunday,Convenient,More than 1 hour,4-6 times,NA,0,1,4,7,10,A little cool,Strongly agree,2,3,Yes,No,NA,NA,NA,10,No,No,NA,NA
Morwell,Yes,Friday,Very Inconvenient,Less than 30 minutes,4-6 times,NA,2,7,10,5,4,A little cool,Agree,9,7,Yes,Yes,8,5,1,6,Yes,Yes,William Hall,William.Hall@live.com.au
Werribee,Yes,Tuesday,Convenient,Less than 10 minutes,More than 6 times,No,5,6,4,9,3,Just right,Strongly agree,9,3,Yes,No,NA,NA,NA,10,Yes,No,NA,NA
Rivoli,Yes,Friday,Very Inconvenient,More than 1 hour,More than 6 times,No,7,8,3,3,8,Way too cold,Strongly disagree,10,3,Yes,Yes,4,9,9,7,Yes,No,NA,NA
